,Nstep,Time,Chain length,Chain number,Chain Type,Chain Value,Chain Mass,Average Mass,Average Length,GA conversion
Step 1,1,4.14536261581759e-10,[2],[1],1,['LA-GA'],[148.13],148.13,2.0,0.9999996666666666
Step 5000,5000,1.6432342001727348e-05,"[2, 2, 2, 2, 3]","[2484, 2467, 22, 25, 1]",5,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18]",148.15003200640126,2.000200040008002,0.9983343333333333
Step 10000,10000,3.301081956958605e-05,"[2, 2, 2, 2, 3, 3]","[5012, 4888, 43, 47, 3, 2]",6,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998]",148.16746173086543,2.0005002501250626,0.9966686666666666
Step 15000,15000,4.981167684515493e-05,"[2, 2, 2, 2, 3, 3]","[7521, 7327, 63, 63, 4, 9]",6,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998]",148.18877894174955,2.0008674184293054,0.995003
Step 20000,20000,6.653423445042038e-05,"[2, 2, 2, 2, 3, 3, 3]","[9961, 9805, 82, 98, 13, 13, 1]",7,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18]",148.22884443999402,2.001351824963701,0.993343
Step 25000,25000,8.305445054535997e-05,"[2, 2, 2, 2, 3, 3, 3]","[12443, 12246, 114, 119, 16, 22, 1]",7,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18]",148.23587556588276,2.0015624374023475,0.9916756666666666
Step 30000,30000,9.944658999443087e-05,"[2, 2, 2, 2, 3, 3, 3]","[14900, 14700, 143, 143, 25, 31, 1]",7,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18]",148.25503022409242,2.001903616872057,0.9900103333333333
Step 35000,35000,0.00011645911465203663,"[2, 2, 2, 2, 3, 3, 3]","[17407, 17106, 167, 164, 37, 40, 1]",7,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18]",148.27452236412577,2.0022335490521734,0.9883456666666667
Step 40000,40000,0.00013328661017432395,"[2, 2, 2, 2, 3, 3, 3, 3]","[19812, 19594, 185, 191, 51, 55, 2, 1]",8,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998]",148.3104244065077,2.0027324459151186,0.9866873333333334
Step 45000,45000,0.0001498594826459074,"[2, 2, 2, 2, 3, 3, 3, 3, 4]","[22169, 22114, 213, 223, 68, 68, 2, 1, 1]",9,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26]",148.33748233353396,2.0031431819701733,0.9850266666666667
